# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
sun;600;2023-08-02 22:10:01 UTC;-1;0.08;0.00;0.09;0.04;0.00;0.00;0.00;0.00;0.00;99.78
sun;600;2023-08-02 22:10:01 UTC;0;0.15;0.00;0.11;0.07;0.00;0.00;0.00;0.00;0.00;99.66
sun;600;2023-08-02 22:10:01 UTC;1;0.07;0.00;0.05;0.04;0.00;0.00;0.00;0.00;0.00;99.84
sun;600;2023-08-02 22:10:01 UTC;2;0.02;0.01;0.07;0.03;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-02 22:10:01 UTC;3;0.10;0.00;0.12;0.01;0.00;0.00;0.01;0.00;0.00;99.77
sun;600;2023-08-02 22:20:01 UTC;-1;0.03;0.00;0.05;0.02;0.00;0.00;0.00;0.00;0.00;99.89
sun;600;2023-08-02 22:20:01 UTC;0;0.02;0.00;0.06;0.03;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-02 22:20:01 UTC;1;0.02;0.00;0.06;0.05;0.00;0.00;0.00;0.00;0.00;99.87
sun;600;2023-08-02 22:20:01 UTC;2;0.03;0.00;0.05;0.01;0.00;0.00;0.01;0.00;0.00;99.91
sun;600;2023-08-02 22:20:01 UTC;3;0.05;0.00;0.05;0.01;0.00;0.00;0.00;0.00;0.00;99.90
sun;600;2023-08-02 22:30:02 UTC;-1;0.04;0.00;0.06;0.02;0.00;0.00;0.00;0.00;0.00;99.88
sun;600;2023-08-02 22:30:02 UTC;0;0.05;0.00;0.06;0.04;0.00;0.00;0.00;0.00;0.00;99.85
sun;600;2023-08-02 22:30:02 UTC;1;0.05;0.00;0.05;0.03;0.00;0.00;0.00;0.00;0.00;99.86
sun;600;2023-08-02 22:30:02 UTC;2;0.03;0.00;0.07;0.01;0.00;0.00;0.01;0.00;0.00;99.89
sun;600;2023-08-02 22:30:02 UTC;3;0.02;0.00;0.06;0.00;0.00;0.00;0.00;0.00;0.00;99.92
sun;599;2023-08-02 22:40:01 UTC;-1;0.04;0.00;0.07;0.02;0.00;0.00;0.00;0.00;0.00;99.88
sun;599;2023-08-02 22:40:01 UTC;0;0.06;0.00;0.12;0.04;0.00;0.00;0.00;0.00;0.00;99.79
sun;599;2023-08-02 22:40:01 UTC;1;0.06;0.00;0.08;0.03;0.00;0.00;0.00;0.00;0.00;99.83
sun;599;2023-08-02 22:40:01 UTC;2;0.03;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;99.92
