# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
profrouter;600;2020-05-02 01:55:01 UTC;0;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 01:55:01 UTC;1;0.02;0.00;0.03;0.01;0.00;0.00;0.00;0.00;0.00;99.94
profrouter;600;2020-05-02 01:55:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 01:55:01 UTC;3;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.99
profrouter;600;2020-05-02 02:05:01 UTC;-1;0.02;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 02:05:01 UTC;0;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 02:05:01 UTC;1;0.07;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.91
profrouter;600;2020-05-02 02:05:01 UTC;2;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 02:05:01 UTC;3;0.01;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 02:15:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 02:15:01 UTC;0;0.02;0.00;0.02;0.00;0.00;0.00;0.02;0.00;0.00;99.94
profrouter;600;2020-05-02 02:15:01 UTC;1;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 02:15:01 UTC;2;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 02:15:01 UTC;3;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 02:25:01 UTC;-1;0.06;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.91
profrouter;600;2020-05-02 02:25:01 UTC;0;0.03;0.00;0.03;0.00;0.00;0.00;0.01;0.00;0.00;99.94
profrouter;600;2020-05-02 02:25:01 UTC;1;0.04;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.94
